train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0003,4.9579324695514515e-05,851,5.61948895,-0.0009433104423806071,28699,19.14,168,0.9373478591442108,-2.682454010027868e-07,143500,28700,,
0.0003,0.0009574343566782773,851,5.6094275499999995,-0.0009521446190774441,28799,18.84,169,0.7870095372200012,2.3119227989809588e-06,144000,28800,,
0.0003,0.000647735083475709,850,5.604226829999999,-0.0009417181718163192,28899,18.76,169,0.3163912892341614,1.7195509371958906e-06,144500,28900,,
0.0003,6.719984230585396e-05,,,-0.0009409009362570941,28999,,,0.9700724519789219,5.783603000963922e-07,145000,,5.6842112,21.2
,,850,5.612292019999999,,,19.06,170,,,145000,29000,,
0.0003,0.0013801411259919405,850,5.626579370000001,-0.0009670420549809933,29099,19.48,171,0.8954373821616173,-2.879438852687599e-06,145500,29100,,
0.0003,0.0006863701855763793,850,5.63195802,-0.0009570399415679276,29199,19.6,171,0.9022094383835793,-1.953632590812049e-06,146000,29200,,
0.0003,3.606802420108579e-05,849,5.627877320000001,-0.0009543386986479163,29299,19.46,172,0.9646503999829292,2.6711870759754675e-07,146500,29300,,
0.0003,0.00017183674208354205,849,5.624592270000001,-0.0009492519311606884,29399,19.37,173,0.6095669865608215,6.084476922296744e-07,147000,29400,,
0.0003,0.0003088494995608926,849,5.61880758,-0.0009620701894164085,29499,19.23,173,0.9396300986409187,-1.3007644383833394e-06,147500,29500,,
0.0003,0.0001218358738697134,849,5.61565907,-0.0009691089508123696,29599,19.18,174,0.994269551243633,-6.080126127017138e-07,148000,29600,,
0.0003,0.00029262571479193866,849,5.618862750000001,-0.000974576803855598,29699,19.17,174,0.9766944199800491,7.204284315776022e-07,148500,29700,,
0.0003,0.0006917564896866679,849,5.60493473,-0.0009625894017517567,29799,18.72,175,0.9863184932619333,-2.0900001800328027e-06,149000,29800,,
0.0003,4.620255276677199e-05,849,5.60113106,-0.0009487984934821725,29899,18.62,175,0.9339468106627464,-1.962253861620411e-07,149500,29900,,
0.0003,0.004153851885348558,,,-0.0009406323661096394,29999,,,0.9348748028278351,-5.0157095756731e-06,150000,,5.5819057999999995,18.0
,,849,5.61237178,,,18.93,176,,,150000,30000,,
0.0003,0.00038979906821623445,849,5.60728099,-0.0009479743312112987,30099,18.89,177,0.9639706648886204,1.5116390841285465e-06,150500,30100,,
0.0003,2.0569537809933536e-05,849,5.613889190000001,-0.0009582890197634697,30199,19.07,177,0.9653813429176807,1.8854704819659673e-07,151000,30200,,
0.0003,0.001136109814979136,849,5.60750472,-0.0009526462526991963,30299,18.92,178,0.9380889311432838,2.6316597541153897e-06,151500,30300,,
0.0003,0.00012227153638377786,850,5.6085499500000005,-0.0009498056024312973,30399,18.94,178,0.9498452693223953,7.308186695809127e-07,152000,30400,,
0.0003,8.062936103669927e-05,850,5.616209230000001,-0.0009571917471475899,30499,19.27,179,0.9637072160840034,5.886296321477857e-07,152500,30500,,
0.0003,0.0002266721276100725,850,5.609616999999999,-0.0010523224482312799,30599,19.12,179,0.8398648947477341,-8.394739552386454e-07,153000,30600,,
0.0003,0.000330363807734102,850,5.61437514,-0.0012123913038522005,30699,19.13,180,0.81233249604702,-1.2850393886765232e-06,153500,30700,,
0.0003,3.5163942811777815e-05,850,5.60958896,-0.0011829172726720572,30799,19.0,181,0.9614226259291172,-3.0769200520808226e-07,154000,30800,,
0.0003,2.9820643248967826e-05,850,5.6139288999999994,-0.00118216872215271,30899,19.1,181,0.9636329561471939,-1.925974117966689e-07,154500,30900,,
0.0003,0.0009644675883464515,,,-0.0011947622988373041,30999,,,0.8956523239612579,-3.0181442980392603e-06,155000,,5.6008124,20.0
,,850,5.614132550000001,,,19.14,182,,,155000,31000,,
0.0003,0.00013106886763125658,850,5.6152084800000015,-0.0012083828914910555,31099,19.24,182,0.9586711712181568,1.0634997806846513e-06,155500,31100,,
